id,predicted_price
2591820310,366434.37298222084
7974200820,867871.7833391123
7701450110,1277945.1581867742
9522300010,1702844.9097048072
9510861140,772065.2071215815
1761300310,251031.32583512817
7732410120,820023.7140551333
7010701383,577709.1857466266
291310170,453478.33830999635
4232901990,474973.93888526916
6840701125,614734.6096210891
3971700580,371154.5351772924
4202400078,238330.32668158817
6064800090,334087.13375589636
2626119028,234360.7948343114
3303980660,1085107.8293968781
862000020,707900.2180225836
2386000070,1175103.1724864275
1138000450,364184.0209151112
1775800420,484299.8915711649
2291401425,437205.9927620694
2025770560,841979.7493477373
3525069037,782839.0570661811
9324800450,544377.0192402902
8080400136,528922.2538538392
8651540040,533058.3738428641
9407001790,262267.5846466063
1773101530,230296.104780163
9432900250,335189.29375323106
1794500695,559582.0626566396
2220069003,362422.05845013115
923000120,446360.0833736729
5728000060,544406.3255476408
16000200,233482.99912139616
1926059094,411757.52739626094
6672900220,979181.9434257977
3629860060,838055.2149746595
1822069109,446656.87986946665
6675500105,347701.81636629236
249000180,1747968.4925040577
226059065,523028.54999981436
396100110,264789.7058784835
9264450460,347712.484267477
7853361210,355012.5800887898
9474700020,263507.65978939674
421000455,237405.16111419434
3755200220,396774.69424083
7960100075,446099.70674274134
9477100490,393433.8510466633
9138100350,812992.3340310589
1624049275,383175.5057802889
2770606890,472126.5070065984
1157200189,404715.38567535864
2770601800,481332.7937362773
9301300805,514239.70451211487
2325069032,1148775.9347200694
1021079099,342075.6146014438
7215730040,793470.3007599753
1853200080,393487.5227551711
3224600340,715550.986702786
3222049120,413437.7714030687
2113700025,265647.60363805696
7893207925,208227.11844562672
3586501085,512900.4017286942
8024200010,368276.03132123494
7116500705,167554.86323535134
1598600209,332832.94454558997
7204200025,870727.5255477936
4206901505,472277.5615525325
2937300440,980012.7677565226
7205000180,326995.3593906041
8718500665,366502.5879847821
5318101765,831183.0784058584
4122700020,938579.1425838224
8078700020,506286.82043562556
3303980680,981282.6603009402
8924100372,1219743.187882826
2781270210,199820.17175850022
519000043,546718.4297411056
3225069301,1697155.3217088818
151000075,767134.9042599185
2297400020,432985.43190726015
6617500085,629362.3424147302
104510180,244526.825964716
3528900060,933968.3427246903
3345100286,572824.3276949418
1226039130,442783.4784858438
8712100720,761297.2140917485
3037200010,376233.4664412493
3626039268,428297.4762679172
104510230,245467.2906396845
5112800060,425350.4788195279
6072400280,649306.7368440239
5317100570,1094484.9796060475
